"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"1","Donald Trump","female","white","Graduated college","WI","45 to 55",0,"wisconsin"
"2","Donald Trump","female","white","Graduated college","VA","45 to 55",0,"virginia"
"3","Donald Trump","female","white","Graduated high school","TX","60 plus",0,"texas"
"4","Donald Trump","female","white","Graduated high school","WA","45 to 55",0,"washington"
"5","Joe Biden","female","white","Didn't graduate college","MA","18 to 29",1,"massachusetts"
"6","Joe Biden","female","black/african american","Didn't graduate college","TX","30 to 44",1,"texas"
"7","Donald Trump","female","white","Didn't graduate college","CA","60 plus",0,"california"
"8","Donald Trump","female","white","Graduated college","NC","45 to 55",0,"north carolina"
"9","Donald Trump","female","white","Graduated college","MD","60 plus",0,"maryland"
"10","Joe Biden","female","white","Didn't graduate college","FL","45 to 55",1,"florida"
"11","Donald Trump","female","white","Graduated high school","WV","60 plus",0,"west virginia"
"12","Joe Biden","female","white","Graduated high school","OH","30 to 44",1,"ohio"
"13","Joe Biden","female","white","Graduated college","NY","60 plus",1,"new york"
"14","Joe Biden","female","white","Didn't graduate college","KY","18 to 29",1,"kentucky"
"15","Donald Trump","female","white","Graduated college","FL","60 plus",0,"florida"
"16","Donald Trump","male","white","Graduated college","IN","60 plus",0,"indiana"
"17","Joe Biden","female","white","Graduated high school","MI","60 plus",1,"michigan"
"18","Joe Biden","male","white","Graduated college","WA","30 to 44",1,"washington"
"19","Donald Trump","female","white","Graduated college","IA","60 plus",0,"iowa"
"20","Joe Biden","female","white","Didn't graduate college","CA","60 plus",1,"california"
"21","Donald Trump","female","white","Graduated college","SC","45 to 55",0,"south carolina"
"22","Joe Biden","male","white","Graduated college","MN","60 plus",1,"minnesota"
"23","Donald Trump","female","white","Didn't graduate college","GA","60 plus",0,"georgia"
"24","Donald Trump","female","white","Graduated college","PA","30 to 44",0,"pennsylvania"
"25","Joe Biden","female","white","Graduated college","NJ","60 plus",1,"new jersey"
"26","Donald Trump","female","white","Graduated college","VA","30 to 44",0,"virginia"
"27","Donald Trump","female","white","Didn't graduate college","SC","60 plus",0,"south carolina"
"28","Donald Trump","female","white","Graduated college","TX","60 plus",0,"texas"
"29","Joe Biden","female","black/african american","Didn't graduate college","FL","18 to 29",1,"florida"
"30","Joe Biden","female","white","Graduated college","AZ","60 plus",1,"arizona"
"31","Joe Biden","male","white","Graduated college","IL","60 plus",1,"illinois"
"32","Donald Trump","male","white","Didn't graduate college","OH","60 plus",0,"ohio"
"33","Joe Biden","female","white","Graduated college","OH","45 to 55",1,"ohio"
"34","Joe Biden","male","white","Didn't graduate college","CA","60 plus",1,"california"
"35","Donald Trump","female","white","Didn't graduate high school","FL","30 to 44",0,"florida"
"36","Joe Biden","female","black/african american","Graduated college","NC","60 plus",1,"north carolina"
"37","Joe Biden","male","white","Graduated college","TX","30 to 44",1,"texas"
"38","Joe Biden","female","white","Graduated college","FL","30 to 44",1,"florida"
"39","Joe Biden","female","white","Graduated college","TX","30 to 44",1,"texas"
"40","Joe Biden","female","white","Graduated college","NJ","30 to 44",1,"new jersey"
"41","Joe Biden","female","white","Didn't graduate college","FL","18 to 29",1,"florida"
"42","Joe Biden","female","white","Didn't graduate high school","CA","30 to 44",1,"california"
"43","Donald Trump","female","white","Didn't graduate college","OR","60 plus",0,"oregon"
"44","Donald Trump","female","white","Graduated college","PA","45 to 55",0,"pennsylvania"
"45","Joe Biden","female","black/african american","Graduated college","PA","60 plus",1,"pennsylvania"
"46","Joe Biden","female","white","Didn't graduate college","NC","60 plus",1,"north carolina"
"47","Donald Trump","female","white","Graduated high school","TX","30 to 44",0,"texas"
"48","Donald Trump","male","other asian or pacific islander","Graduated college","VA","30 to 44",0,"virginia"
"49","Donald Trump","male","white","Graduated college","OH","60 plus",0,"ohio"
"50","Joe Biden","female","chinese","Graduated college","CA","30 to 44",1,"california"
"51","Joe Biden","female","white","Graduated college","IL","45 to 55",1,"illinois"
"52","Donald Trump","female","white","Graduated college","NC","60 plus",0,"north carolina"
"53","Joe Biden","female","white","Graduated high school","MI","45 to 55",1,"michigan"
"54","Joe Biden","female","white","Graduated college","CA","18 to 29",1,"california"
"55","Joe Biden","female","white","Didn't graduate college","MI","30 to 44",1,"michigan"
"56","Joe Biden","male","white","Didn't graduate high school","CT","30 to 44",1,"connecticut"
"57","Donald Trump","female","white","Graduated college","NC","60 plus",0,"north carolina"
"58","Donald Trump","female","white","Didn't graduate college","DE","60 plus",0,"delaware"
"59","Donald Trump","female","white","Graduated college","CT","60 plus",0,"connecticut"
"60","Donald Trump","female","white","Graduated college","NC","30 to 44",0,"north carolina"
"61","Donald Trump","female","white","Graduated college","OR","60 plus",0,"oregon"
"62","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"63","Joe Biden","female","white","Graduated high school","NJ","18 to 29",1,"new jersey"
"64","Donald Trump","female","white","Graduated college","CA","45 to 55",0,"california"
"65","Donald Trump","female","white","Graduated college","NC","60 plus",0,"north carolina"
"66","Joe Biden","female","white","Graduated college","FL","60 plus",1,"florida"
"67","Joe Biden","female","white","Graduated college","IA","45 to 55",1,"iowa"
"68","Donald Trump","female","white","Graduated college","GA","45 to 55",0,"georgia"
"69","Joe Biden","female","white","Graduated college","NY","60 plus",1,"new york"
"70","Joe Biden","female","white","Graduated college","WA","60 plus",1,"washington"
"71","Joe Biden","female","white","Didn't graduate college","MI","30 to 44",1,"michigan"
"72","Joe Biden","female","white","Graduated high school","OH","45 to 55",1,"ohio"
"73","Donald Trump","female","white","Graduated high school","IL","30 to 44",0,"illinois"
"74","Joe Biden","female","white","Graduated high school","MA","60 plus",1,"massachusetts"
"75","Joe Biden","female","chinese","Graduated college","MO","30 to 44",1,"missouri"
"76","Joe Biden","female","white","Graduated college","CO","45 to 55",1,"colorado"
"77","Donald Trump","female","white","Didn't graduate college","IL","45 to 55",0,"illinois"
"78","Donald Trump","female","white","Graduated college","NC","60 plus",0,"north carolina"
"79","Joe Biden","female","white","Graduated college","NY","60 plus",1,"new york"
"80","Donald Trump","female","white","Graduated high school","IN","45 to 55",0,"indiana"
"81","Joe Biden","female","chinese","Graduated college","CA","30 to 44",1,"california"
"82","Donald Trump","female","white","Didn't graduate college","FL","18 to 29",0,"florida"
"83","Donald Trump","female","white","Didn't graduate college","PA","60 plus",0,"pennsylvania"
"84","Donald Trump","female","white","Graduated high school","SC","30 to 44",0,"south carolina"
"85","Donald Trump","female","white","Graduated college","IL","45 to 55",0,"illinois"
"86","Joe Biden","female","white","Didn't graduate college","OH","60 plus",1,"ohio"
"87","Donald Trump","male","white","Graduated college","NY","45 to 55",0,"new york"
"88","Donald Trump","male","white","Didn't graduate college","IA","60 plus",0,"iowa"
"89","Donald Trump","female","white","Graduated college","WI","45 to 55",0,"wisconsin"
"90","Joe Biden","female","white","Graduated college","CT","18 to 29",1,"connecticut"
"91","Donald Trump","female","white","Graduated high school","PA","45 to 55",0,"pennsylvania"
"92","Joe Biden","female","white","Graduated college","NJ","60 plus",1,"new jersey"
"93","Joe Biden","female","white","Graduated college","DC","30 to 44",1,"district of columbia"
"94","Joe Biden","male","white","Graduated college","PA","60 plus",1,"pennsylvania"
"95","Donald Trump","male","white","Graduated college","GA","18 to 29",0,"georgia"
"96","Joe Biden","female","white","Graduated college","NY","30 to 44",1,"new york"
"97","Donald Trump","male","white","Graduated college","FL","30 to 44",0,"florida"
"98","Joe Biden","male","black/african american","Didn't graduate high school","FL","18 to 29",1,"florida"
"99","Joe Biden","male","chinese","Didn't graduate college","NY","45 to 55",1,"new york"
"100","Donald Trump","female","white","Graduated college","GA","45 to 55",0,"georgia"
"101","Donald Trump","female","white","Didn't graduate college","IL","45 to 55",0,"illinois"
"102","Joe Biden","male","white","Didn't graduate college","NM","60 plus",1,"new mexico"
"103","Joe Biden","female","white","Graduated college","TN","45 to 55",1,"tennessee"
"104","Joe Biden","female","chinese","Graduated college","CA","45 to 55",1,"california"
"105","Donald Trump","female","white","Graduated college","NC","30 to 44",0,"north carolina"
"106","Donald Trump","female","white","Didn't graduate college","VA","60 plus",0,"virginia"
"107","Donald Trump","male","white","Graduated college","MN","30 to 44",0,"minnesota"
"108","Donald Trump","male","white","Graduated college","WI","60 plus",0,"wisconsin"
"109","Joe Biden","female","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"110","Joe Biden","female","white","Didn't graduate college","OK","18 to 29",1,"oklahoma"
"111","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"112","Donald Trump","male","white","Graduated college","FL","45 to 55",0,"florida"
"113","Joe Biden","female","black/african american","Graduated college","DC","60 plus",1,"district of columbia"
"114","Donald Trump","female","white","Graduated college","TX","45 to 55",0,"texas"
"115","Donald Trump","female","white","Graduated college","IN","18 to 29",0,"indiana"
"116","Donald Trump","male","white","Graduated college","OH","45 to 55",0,"ohio"
"117","Joe Biden","male","white","Graduated college","AZ","60 plus",1,"arizona"
"118","Donald Trump","female","white","Graduated college","NJ","45 to 55",0,"new jersey"
"119","Joe Biden","male","white","Didn't graduate college","CO","60 plus",1,"colorado"
"120","Joe Biden","male","other asian or pacific islander","Graduated college","PA","45 to 55",1,"pennsylvania"
"121","Joe Biden","female","white","Didn't graduate college","OH","45 to 55",1,"ohio"
"122","Joe Biden","male","japanese","Graduated college","HI","60 plus",1,"hawaii"
"123","Joe Biden","male","white","Graduated college","CT","45 to 55",1,"connecticut"
"124","Joe Biden","female","white","Graduated college","FL","30 to 44",1,"florida"
"125","Joe Biden","female","chinese","Graduated college","IL","60 plus",1,"illinois"
"126","Joe Biden","male","white","Graduated college","WI","60 plus",1,"wisconsin"
"127","Joe Biden","female","black/african american","Graduated college","NJ","60 plus",1,"new jersey"
"128","Donald Trump","female","white","Graduated high school","TX","45 to 55",0,"texas"
"129","Donald Trump","male","white","Graduated college","TX","60 plus",0,"texas"
"130","Donald Trump","male","white","Graduated college","MT","60 plus",0,"montana"
"131","Joe Biden","female","white","Didn't graduate college","PA","60 plus",1,"pennsylvania"
"132","Joe Biden","female","white","Graduated college","CA","30 to 44",1,"california"
"133","Donald Trump","female","white","Didn't graduate college","TX","60 plus",0,"texas"
"134","Donald Trump","male","chinese","Graduated college","CA","60 plus",0,"california"
"135","Donald Trump","female","white","Didn't graduate college","TN","60 plus",0,"tennessee"
"136","Joe Biden","female","white","Didn't graduate college","NC","60 plus",1,"north carolina"
"137","Donald Trump","female","white","Graduated high school","PA","18 to 29",0,"pennsylvania"
"138","Joe Biden","female","other race, nec","Graduated college","CT","30 to 44",1,"connecticut"
"139","Donald Trump","female","black/african american","Graduated college","TN","30 to 44",0,"tennessee"
"140","Joe Biden","female","white","Graduated high school","TX","60 plus",1,"texas"
"141","Donald Trump","female","white","Didn't graduate college","NJ","45 to 55",0,"new jersey"
"142","Donald Trump","female","white","Graduated college","TN","45 to 55",0,"tennessee"
"143","Joe Biden","female","white","Didn't graduate college","IL","60 plus",1,"illinois"
"144","Donald Trump","female","other asian or pacific islander","Graduated college","OR","18 to 29",0,"oregon"
"145","Joe Biden","male","other race, nec","Didn't graduate college","CA","18 to 29",1,"california"
"146","Joe Biden","female","white","Graduated high school","CT","30 to 44",1,"connecticut"
"147","Joe Biden","female","white","Didn't graduate college","WI","60 plus",1,"wisconsin"
"148","Donald Trump","female","white","Graduated college","MA","60 plus",0,"massachusetts"
"149","Joe Biden","female","white","Graduated college","FL","30 to 44",1,"florida"
"150","Joe Biden","male","black/african american","Graduated high school","NV","18 to 29",1,"nevada"
"151","Joe Biden","female","white","Didn't graduate college","VT","60 plus",1,"vermont"
"152","Joe Biden","male","white","Graduated college","NY","18 to 29",1,"new york"
"153","Donald Trump","male","white","Graduated college","PA","30 to 44",0,"pennsylvania"
"154","Donald Trump","female","white","Graduated high school","KY","18 to 29",0,"kentucky"
"155","Donald Trump","female","white","Didn't graduate college","MD","60 plus",0,"maryland"
"156","Joe Biden","male","black/african american","Graduated high school","IL","30 to 44",1,"illinois"
"157","Joe Biden","female","white","Graduated college","MO","60 plus",1,"missouri"
"158","Donald Trump","female","white","Graduated college","FL","45 to 55",0,"florida"
"159","Donald Trump","female","white","Graduated college","CA","30 to 44",0,"california"
"160","Joe Biden","female","white","Didn't graduate college","MT","60 plus",1,"montana"
"161","Joe Biden","female","black/african american","Didn't graduate high school","WI","30 to 44",1,"wisconsin"
"162","Joe Biden","male","white","Graduated high school","SC","45 to 55",1,"south carolina"
"163","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"164","Joe Biden","female","white","Didn't graduate college","MO","60 plus",1,"missouri"
"165","Donald Trump","female","white","Didn't graduate college","TX","60 plus",0,"texas"
"166","Donald Trump","female","white","Graduated college","OH","60 plus",0,"ohio"
"167","Joe Biden","male","black/african american","Didn't graduate college","TN","45 to 55",1,"tennessee"
"168","Joe Biden","female","white","Graduated college","UT","18 to 29",1,"utah"
"169","Joe Biden","male","white","Graduated college","MN","30 to 44",1,"minnesota"
"170","Joe Biden","female","white","Graduated college","NJ","60 plus",1,"new jersey"
"171","Joe Biden","female","white","Graduated college","SC","60 plus",1,"south carolina"
"172","Donald Trump","female","white","Graduated college","GA","60 plus",0,"georgia"
"173","Joe Biden","female","white","Graduated college","CA","30 to 44",1,"california"
"174","Donald Trump","female","white","Graduated college","VA","45 to 55",0,"virginia"
"175","Donald Trump","female","white","Graduated high school","WV","60 plus",0,"west virginia"
"176","Joe Biden","male","white","Didn't graduate college","FL","18 to 29",1,"florida"
"177","Donald Trump","female","white","Graduated college","MI","45 to 55",0,"michigan"
"178","Donald Trump","female","white","Graduated college","NE","45 to 55",0,"nebraska"
"179","Donald Trump","female","white","Graduated high school","MI","45 to 55",0,"michigan"
"180","Donald Trump","female","other asian or pacific islander","Didn't graduate high school","UT","18 to 29",0,"utah"
"181","Donald Trump","female","white","Graduated college","FL","60 plus",0,"florida"
"182","Donald Trump","female","white","Graduated high school","NC","18 to 29",0,"north carolina"
"183","Joe Biden","female","white","Graduated college","AZ","60 plus",1,"arizona"
"184","Donald Trump","female","white","Graduated high school","TN","60 plus",0,"tennessee"
"185","Joe Biden","male","white","Graduated college","MA","45 to 55",1,"massachusetts"
"186","Donald Trump","female","white","Didn't graduate college","IL","45 to 55",0,"illinois"
"187","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"188","Joe Biden","female","white","Graduated high school","NY","60 plus",1,"new york"
"189","Donald Trump","male","white","Graduated high school","CO","30 to 44",0,"colorado"
"190","Joe Biden","female","japanese","Graduated college","HI","30 to 44",1,"hawaii"
"191","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"192","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"193","Donald Trump","female","white","Didn't graduate college","NY","45 to 55",0,"new york"
"194","Joe Biden","male","black/african american","Didn't graduate college","DC","30 to 44",1,"district of columbia"
"195","Joe Biden","female","white","Graduated college","FL","60 plus",1,"florida"
"196","Donald Trump","male","white","Graduated college","TX","30 to 44",0,"texas"
"197","Joe Biden","female","white","Graduated high school","IN","18 to 29",1,"indiana"
"198","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"199","Donald Trump","male","white","Graduated college","GA","30 to 44",0,"georgia"
"200","Joe Biden","male","black/african american","Graduated high school","NY","18 to 29",1,"new york"
"201","Joe Biden","female","white","Graduated college","OH","30 to 44",1,"ohio"
"202","Joe Biden","male","white","Graduated college","CO","30 to 44",1,"colorado"
"203","Donald Trump","female","white","Didn't graduate high school","IL","18 to 29",0,"illinois"
"204","Joe Biden","male","white","Graduated college","NJ","30 to 44",1,"new jersey"
"205","Joe Biden","male","white","Graduated high school","IL","45 to 55",1,"illinois"
"206","Donald Trump","male","black/african american","Graduated college","MN","30 to 44",0,"minnesota"
"207","Donald Trump","female","white","Graduated high school","MO","45 to 55",0,"missouri"
"208","Donald Trump","male","other asian or pacific islander","Graduated college","WA","18 to 29",0,"washington"
"209","Joe Biden","female","other race, nec","Graduated college","CA","30 to 44",1,"california"
"210","Joe Biden","female","black/african american","Didn't graduate high school","TX","18 to 29",1,"texas"
"211","Joe Biden","female","white","Didn't graduate college","CA","18 to 29",1,"california"
"212","Donald Trump","male","white","Graduated college","PA","45 to 55",0,"pennsylvania"
"213","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"214","Joe Biden","male","white","Graduated college","AZ","60 plus",1,"arizona"
"215","Donald Trump","male","white","Graduated high school","OH","18 to 29",0,"ohio"
"216","Joe Biden","female","white","Graduated college","CA","45 to 55",1,"california"
"217","Joe Biden","male","black/african american","Didn't graduate high school","MO","30 to 44",1,"missouri"
"218","Joe Biden","male","white","Didn't graduate college","WI","45 to 55",1,"wisconsin"
"219","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"220","Donald Trump","female","white","Didn't graduate college","WI","30 to 44",0,"wisconsin"
"221","Joe Biden","male","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"222","Joe Biden","male","white","Graduated high school","NY","18 to 29",1,"new york"
"223","Joe Biden","female","white","Graduated college","MN","30 to 44",1,"minnesota"
"224","Joe Biden","male","white","Graduated college","NH","30 to 44",1,"new hampshire"
"225","Joe Biden","female","white","Graduated high school","MI","30 to 44",1,"michigan"
"226","Joe Biden","female","white","Didn't graduate high school","CO","18 to 29",1,"colorado"
"227","Donald Trump","male","white","Graduated college","VA","30 to 44",0,"virginia"
"228","Joe Biden","female","black/african american","Didn't graduate high school","MI","45 to 55",1,"michigan"
"229","Joe Biden","female","other asian or pacific islander","Didn't graduate college","PA","18 to 29",1,"pennsylvania"
"230","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"231","Donald Trump","female","white","Graduated high school","AZ","60 plus",0,"arizona"
"232","Donald Trump","male","white","Graduated college","KY","30 to 44",0,"kentucky"
"233","Joe Biden","female","white","Graduated college","MN","45 to 55",1,"minnesota"
"234","Joe Biden","female","white","Graduated college","NV","30 to 44",1,"nevada"
"235","Joe Biden","male","white","Didn't graduate college","IL","18 to 29",1,"illinois"
"236","Joe Biden","male","white","Graduated college","NY","30 to 44",1,"new york"
"237","Joe Biden","female","other race, nec","Graduated college","GA","18 to 29",1,"georgia"
"238","Joe Biden","male","white","Graduated college","VA","45 to 55",1,"virginia"
"239","Donald Trump","female","white","Graduated college","IN","60 plus",0,"indiana"
"240","Joe Biden","male","black/african american","Didn't graduate high school","MD","18 to 29",1,"maryland"
"241","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"242","Joe Biden","male","white","Didn't graduate college","TX","45 to 55",1,"texas"
"243","Joe Biden","female","other asian or pacific islander","Graduated college","FL","60 plus",1,"florida"
"244","Joe Biden","male","chinese","Graduated college","NJ","30 to 44",1,"new jersey"
"245","Joe Biden","male","white","Graduated college","FL","30 to 44",1,"florida"
"246","Donald Trump","male","other asian or pacific islander","Didn't graduate high school","TX","30 to 44",0,"texas"
"247","Joe Biden","female","white","Graduated college","CA","18 to 29",1,"california"
"248","Donald Trump","male","white","Graduated college","WI","30 to 44",0,"wisconsin"
"249","Joe Biden","male","black/african american","Graduated high school","FL","18 to 29",1,"florida"
"250","Joe Biden","male","white","Didn't graduate college","MI","60 plus",1,"michigan"
"251","Donald Trump","female","other race, nec","Didn't graduate college","VA","18 to 29",0,"virginia"
"252","Donald Trump","male","white","Graduated high school","VA","18 to 29",0,"virginia"
"253","Joe Biden","male","white","Graduated college","CA","30 to 44",1,"california"
"254","Joe Biden","male","white","Didn't graduate college","IA","18 to 29",1,"iowa"
"255","Donald Trump","male","white","Graduated college","OH","30 to 44",0,"ohio"
"256","Donald Trump","male","white","Graduated high school","VA","30 to 44",0,"virginia"
"257","Joe Biden","male","white","Didn't graduate high school","MI","60 plus",1,"michigan"
"258","Joe Biden","female","white","Graduated college","MA","18 to 29",1,"massachusetts"
"259","Donald Trump","male","white","Graduated college","NJ","30 to 44",0,"new jersey"
"260","Joe Biden","female","white","Graduated college","CA","60 plus",1,"california"
"261","Donald Trump","male","white","Didn't graduate high school","TN","30 to 44",0,"tennessee"
"262","Joe Biden","male","white","Graduated college","NY","30 to 44",1,"new york"
"263","Joe Biden","male","white","Graduated college","MO","18 to 29",1,"missouri"
"264","Donald Trump","female","white","Graduated college","OH","30 to 44",0,"ohio"
"265","Joe Biden","male","other race, nec","Graduated college","TX","18 to 29",1,"texas"
"266","Joe Biden","male","black/african american","Graduated high school","MD","60 plus",1,"maryland"
"267","Joe Biden","female","white","Didn't graduate college","AZ","60 plus",1,"arizona"
"268","Donald Trump","male","white","Graduated college","OH","60 plus",0,"ohio"
"269","Donald Trump","male","white","Graduated college","ME","45 to 55",0,"maine"
"270","Joe Biden","male","white","Graduated high school","CA","18 to 29",1,"california"
"271","Donald Trump","male","white","Graduated college","NJ","30 to 44",0,"new jersey"
"272","Joe Biden","female","white","Graduated high school","OH","18 to 29",1,"ohio"
"273","Donald Trump","male","white","Didn't graduate college","WI","45 to 55",0,"wisconsin"
"274","Donald Trump","male","white","Didn't graduate college","SC","45 to 55",0,"south carolina"
"275","Donald Trump","female","white","Graduated high school","ID","30 to 44",0,"idaho"
"276","Donald Trump","female","white","Graduated college","LA","30 to 44",0,"louisiana"
"277","Donald Trump","male","white","Didn't graduate college","FL","30 to 44",0,"florida"
"278","Joe Biden","male","black/african american","Graduated high school","MO","30 to 44",1,"missouri"
"279","Joe Biden","male","white","Graduated college","FL","60 plus",1,"florida"
"280","Donald Trump","male","white","Graduated high school","MN","18 to 29",0,"minnesota"
"281","Joe Biden","male","white","Graduated high school","CO","18 to 29",1,"colorado"
"282","Joe Biden","female","black/african american","Graduated college","WI","18 to 29",1,"wisconsin"
"283","Donald Trump","female","white","Graduated high school","OH","18 to 29",0,"ohio"
"284","Donald Trump","male","white","Didn't graduate college","PA","60 plus",0,"pennsylvania"
"285","Donald Trump","male","white","Graduated college","NH","30 to 44",0,"new hampshire"
"286","Donald Trump","male","white","Graduated college","VA","30 to 44",0,"virginia"
"287","Donald Trump","male","other race, nec","Graduated college","NC","30 to 44",0,"north carolina"
"288","Joe Biden","male","black/african american","Graduated high school","VA","45 to 55",1,"virginia"
"289","Donald Trump","male","white","Didn't graduate college","FL","60 plus",0,"florida"
"290","Joe Biden","female","white","Didn't graduate college","NE","60 plus",1,"nebraska"
"291","Donald Trump","female","white","Graduated college","CA","60 plus",0,"california"
"292","Joe Biden","male","white","Graduated college","CA","30 to 44",1,"california"
"293","Joe Biden","female","black/african american","Didn't graduate college","TX","18 to 29",1,"texas"
"294","Donald Trump","female","white","Didn't graduate high school","OR","60 plus",0,"oregon"
"295","Joe Biden","female","white","Graduated college","NJ","60 plus",1,"new jersey"
"296","Donald Trump","female","white","Graduated college","SC","30 to 44",0,"south carolina"
"297","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"298","Joe Biden","female","white","Graduated college","PA","30 to 44",1,"pennsylvania"
"299","Joe Biden","male","white","Graduated college","WA","60 plus",1,"washington"
"300","Donald Trump","female","white","Graduated college","UT","45 to 55",0,"utah"
"301","Joe Biden","female","white","Didn't graduate college","CA","18 to 29",1,"california"
"302","Joe Biden","male","white","Graduated college","FL","30 to 44",1,"florida"
"303","Joe Biden","male","other asian or pacific islander","Didn't graduate high school","CA","30 to 44",1,"california"
"304","Donald Trump","male","white","Graduated college","CA","45 to 55",0,"california"
"305","Donald Trump","female","white","Graduated high school","AZ","45 to 55",0,"arizona"
"306","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"307","Donald Trump","female","white","Didn't graduate high school","TX","30 to 44",0,"texas"
"308","Joe Biden","female","white","Didn't graduate college","TX","18 to 29",1,"texas"
"309","Donald Trump","male","white","Graduated college","FL","60 plus",0,"florida"
"310","Joe Biden","female","white","Didn't graduate college","CA","30 to 44",1,"california"
"311","Joe Biden","male","black/african american","Graduated high school","CO","45 to 55",1,"colorado"
"312","Joe Biden","female","white","Didn't graduate high school","NV","60 plus",1,"nevada"
"313","Joe Biden","male","white","Graduated high school","NY","18 to 29",1,"new york"
"314","Joe Biden","male","black/african american","Didn't graduate college","AZ","30 to 44",1,"arizona"
"315","Joe Biden","male","black/african american","Didn't graduate college","FL","18 to 29",1,"florida"
"316","Donald Trump","female","white","Didn't graduate college","MD","60 plus",0,"maryland"
"317","Donald Trump","male","white","Graduated high school","MN","18 to 29",0,"minnesota"
"318","Donald Trump","female","white","Didn't graduate college","KY","45 to 55",0,"kentucky"
"319","Joe Biden","female","other asian or pacific islander","Graduated college","CA","45 to 55",1,"california"
"320","Donald Trump","female","white","Graduated college","NY","18 to 29",0,"new york"
"321","Donald Trump","female","white","Graduated college","CA","30 to 44",0,"california"
"322","Joe Biden","male","white","Didn't graduate college","NC","30 to 44",1,"north carolina"
"323","Donald Trump","male","white","Graduated college","OH","45 to 55",0,"ohio"
"324","Donald Trump","female","other race, nec","Didn't graduate college","TX","18 to 29",0,"texas"
"325","Joe Biden","male","white","Didn't graduate college","CA","45 to 55",1,"california"
"326","Donald Trump","male","white","Didn't graduate college","FL","18 to 29",0,"florida"
"327","Donald Trump","male","white","Graduated high school","NC","30 to 44",0,"north carolina"
"328","Joe Biden","male","white","Graduated college","IA","45 to 55",1,"iowa"
"329","Joe Biden","female","white","Graduated college","CA","45 to 55",1,"california"
"330","Donald Trump","male","white","Graduated high school","GA","60 plus",0,"georgia"
"331","Joe Biden","male","white","Didn't graduate college","CA","60 plus",1,"california"
"332","Donald Trump","female","black/african american","Graduated high school","AZ","45 to 55",0,"arizona"
"333","Joe Biden","female","black/african american","Didn't graduate college","SC","30 to 44",1,"south carolina"
"334","Joe Biden","male","white","Graduated college","OH","60 plus",1,"ohio"
"335","Joe Biden","male","white","Graduated college","VA","30 to 44",1,"virginia"
"336","Joe Biden","male","white","Didn't graduate college","IN","60 plus",1,"indiana"
"337","Donald Trump","male","white","Graduated college","GA","30 to 44",0,"georgia"
"338","Donald Trump","female","white","Graduated high school","MA","60 plus",0,"massachusetts"
"339","Joe Biden","female","white","Graduated college","CA","30 to 44",1,"california"
"340","Donald Trump","female","white","Graduated college","MD","30 to 44",0,"maryland"
"341","Donald Trump","female","white","Graduated high school","OH","30 to 44",0,"ohio"
"342","Donald Trump","male","white","Graduated college","NC","30 to 44",0,"north carolina"
"343","Joe Biden","female","other asian or pacific islander","Graduated college","WI","18 to 29",1,"wisconsin"
"344","Joe Biden","female","black/african american","Graduated high school","IL","18 to 29",1,"illinois"
"345","Joe Biden","female","other asian or pacific islander","Didn't graduate high school","HI","30 to 44",1,"hawaii"
"346","Joe Biden","male","other race, nec","Didn't graduate college","CA","30 to 44",1,"california"
"347","Donald Trump","female","white","Graduated college","NY","30 to 44",0,"new york"
"348","Donald Trump","male","white","Graduated college","CA","30 to 44",0,"california"
"349","Donald Trump","male","white","Didn't graduate high school","MO","30 to 44",0,"missouri"
"350","Donald Trump","female","white","Graduated college","MI","45 to 55",0,"michigan"
"351","Donald Trump","female","white","Didn't graduate high school","IL","45 to 55",0,"illinois"
"352","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"353","Donald Trump","male","white","Didn't graduate high school","OH","18 to 29",0,"ohio"
"354","Donald Trump","female","white","Didn't graduate college","FL","18 to 29",0,"florida"
"355","Joe Biden","female","other race, nec","Graduated high school","NV","18 to 29",1,"nevada"
"356","Joe Biden","female","black/african american","Didn't graduate college","NC","18 to 29",1,"north carolina"
"357","Joe Biden","male","black/african american","Graduated college","MS","45 to 55",1,"mississippi"
"358","Joe Biden","male","black/african american","Didn't graduate college","MI","60 plus",1,"michigan"
"359","Donald Trump","female","white","Graduated college","AZ","45 to 55",0,"arizona"
"360","Joe Biden","female","white","Didn't graduate college","MI","18 to 29",1,"michigan"
"361","Joe Biden","male","white","Graduated college","CA","18 to 29",1,"california"
"362","Joe Biden","female","white","Graduated college","CO","18 to 29",1,"colorado"
