"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"2365","Joe Biden","female","white","Graduated high school","MO","30 to 44",1,"missouri"
"2366","Joe Biden","female","white","Graduated high school","UT","30 to 44",1,"utah"
"2367","Donald Trump","male","white","Graduated college","FL","30 to 44",0,"florida"
"2368","Joe Biden","female","white","Didn't graduate college","IN","60 plus",1,"indiana"
"2369","Donald Trump","female","white","Didn't graduate high school","IL","18 to 29",0,"illinois"
"2370","Joe Biden","female","white","Graduated college","FL","60 plus",1,"florida"
"2371","Donald Trump","female","white","Graduated college","IL","45 to 55",0,"illinois"
"2372","Joe Biden","female","white","Didn't graduate college","CA","30 to 44",1,"california"
"2373","Joe Biden","male","white","Graduated college","CO","30 to 44",1,"colorado"
"2374","Joe Biden","female","black/african american","Graduated high school","NC","45 to 55",1,"north carolina"
"2375","Joe Biden","male","white","Graduated college","NY","45 to 55",1,"new york"
"2376","Joe Biden","female","black/african american","Didn't graduate college","NY","30 to 44",1,"new york"
"2377","Joe Biden","female","black/african american","Didn't graduate college","CA","60 plus",1,"california"
"2378","Donald Trump","male","white","Graduated college","NC","30 to 44",0,"north carolina"
"2379","Joe Biden","female","black/african american","Graduated college","LA","30 to 44",1,"louisiana"
"2380","Donald Trump","male","white","Graduated college","GA","45 to 55",0,"georgia"
"2381","Donald Trump","male","white","Graduated college","OH","60 plus",0,"ohio"
"2382","Joe Biden","female","white","Didn't graduate college","VA","30 to 44",1,"virginia"
"2383","Donald Trump","male","white","Graduated college","IN","18 to 29",0,"indiana"
"2384","Donald Trump","male","white","Graduated college","NV","60 plus",0,"nevada"
"2385","Joe Biden","male","black/african american","Graduated college","NJ","45 to 55",1,"new jersey"
"2386","Joe Biden","male","white","Didn't graduate high school","WA","30 to 44",1,"washington"
"2387","Joe Biden","female","white","Graduated college","KY","18 to 29",1,"kentucky"
"2388","Joe Biden","male","white","Graduated college","IL","30 to 44",1,"illinois"
"2389","Joe Biden","female","white","Graduated college","WA","18 to 29",1,"washington"
"2390","Joe Biden","female","black/african american","Didn't graduate high school","SC","18 to 29",1,"south carolina"
"2391","Joe Biden","male","white","Graduated college","CA","45 to 55",1,"california"
"2392","Joe Biden","female","white","Didn't graduate college","OK","60 plus",1,"oklahoma"
"2393","Joe Biden","female","black/african american","Graduated college","FL","18 to 29",1,"florida"
"2394","Joe Biden","female","other race, nec","Didn't graduate high school","NJ","30 to 44",1,"new jersey"
"2395","Donald Trump","female","white","Didn't graduate college","PA","30 to 44",0,"pennsylvania"
"2396","Donald Trump","female","white","Graduated college","MD","60 plus",0,"maryland"
"2397","Donald Trump","male","other asian or pacific islander","Graduated college","NY","60 plus",0,"new york"
"2398","Joe Biden","male","white","Graduated college","IL","45 to 55",1,"illinois"
"2399","Donald Trump","male","white","Graduated college","OH","45 to 55",0,"ohio"
"2400","Joe Biden","male","other race, nec","Didn't graduate high school","CA","30 to 44",1,"california"
"2401","Joe Biden","male","black/african american","Graduated college","FL","45 to 55",1,"florida"
"2402","Donald Trump","male","white","Graduated college","IL","45 to 55",0,"illinois"
"2403","Joe Biden","female","white","Graduated college","KY","30 to 44",1,"kentucky"
"2404","Donald Trump","female","white","Didn't graduate high school","MO","60 plus",0,"missouri"
"2405","Donald Trump","male","black/african american","Graduated high school","IN","30 to 44",0,"indiana"
"2406","Joe Biden","female","black/african american","Didn't graduate high school","TX","18 to 29",1,"texas"
"2407","Joe Biden","female","other race, nec","Didn't graduate high school","CA","30 to 44",1,"california"
"2408","Joe Biden","female","white","Didn't graduate college","IA","30 to 44",1,"iowa"
"2409","Joe Biden","female","other race, nec","Graduated college","NY","18 to 29",1,"new york"
"2410","Joe Biden","male","white","Didn't graduate college","PA","18 to 29",1,"pennsylvania"
"2411","Joe Biden","male","white","Didn't graduate college","PA","18 to 29",1,"pennsylvania"
"2412","Joe Biden","male","white","Graduated high school","NE","45 to 55",1,"nebraska"
"2413","Donald Trump","male","white","Graduated college","TX","30 to 44",0,"texas"
"2414","Donald Trump","male","white","Graduated college","MI","30 to 44",0,"michigan"
"2415","Joe Biden","male","other race, nec","Graduated college","CA","45 to 55",1,"california"
"2416","Donald Trump","male","white","Graduated college","WV","45 to 55",0,"west virginia"
"2417","Donald Trump","female","white","Graduated college","CA","60 plus",0,"california"
"2418","Joe Biden","female","white","Graduated high school","MA","45 to 55",1,"massachusetts"
"2419","Donald Trump","female","white","Didn't graduate high school","PA","18 to 29",0,"pennsylvania"
"2420","Donald Trump","female","white","Didn't graduate high school","FL","45 to 55",0,"florida"
"2421","Joe Biden","male","white","Didn't graduate college","CA","30 to 44",1,"california"
"2422","Joe Biden","male","white","Graduated high school","FL","60 plus",1,"florida"
"2423","Donald Trump","female","white","Didn't graduate high school","SC","60 plus",0,"south carolina"
"2424","Joe Biden","female","other asian or pacific islander","Graduated college","CA","30 to 44",1,"california"
"2425","Donald Trump","female","white","Didn't graduate high school","IL","18 to 29",0,"illinois"
"2426","Donald Trump","male","white","Didn't graduate college","MO","18 to 29",0,"missouri"
"2427","Donald Trump","female","white","Graduated college","FL","60 plus",0,"florida"
"2428","Donald Trump","male","white","Graduated college","MA","30 to 44",0,"massachusetts"
"2429","Joe Biden","male","white","Graduated college","CA","30 to 44",1,"california"
"2430","Joe Biden","female","white","Graduated high school","CA","30 to 44",1,"california"
"2431","Joe Biden","male","black/african american","Graduated college","TN","45 to 55",1,"tennessee"
"2432","Joe Biden","male","white","Graduated high school","VA","60 plus",1,"virginia"
"2433","Joe Biden","male","white","Graduated college","NC","60 plus",1,"north carolina"
"2434","Joe Biden","male","white","Didn't graduate college","MA","30 to 44",1,"massachusetts"
"2435","Donald Trump","male","chinese","Graduated college","CA","45 to 55",0,"california"
"2436","Donald Trump","female","white","Didn't graduate college","IN","60 plus",0,"indiana"
"2437","Joe Biden","female","black/african american","Didn't graduate college","NM","30 to 44",1,"new mexico"
"2438","Donald Trump","male","white","Graduated college","OR","60 plus",0,"oregon"
"2439","Donald Trump","female","white","Graduated high school","FL","60 plus",0,"florida"
"2440","Joe Biden","male","white","Graduated college","IL","60 plus",1,"illinois"
"2441","Donald Trump","female","white","Graduated high school","TN","30 to 44",0,"tennessee"
"2442","Donald Trump","female","white","Graduated college","TX","30 to 44",0,"texas"
"2443","Joe Biden","male","black/african american","Graduated college","LA","18 to 29",1,"louisiana"
"2444","Joe Biden","female","black/african american","Graduated college","NV","30 to 44",1,"nevada"
"2445","Joe Biden","female","white","Didn't graduate college","FL","18 to 29",1,"florida"
"2446","Joe Biden","female","other race, nec","Graduated college","CA","18 to 29",1,"california"
"2447","Donald Trump","female","white","Graduated college","NY","45 to 55",0,"new york"
"2448","Joe Biden","female","white","Graduated high school","OH","60 plus",1,"ohio"
"2449","Joe Biden","female","white","Graduated college","CO","30 to 44",1,"colorado"
"2450","Joe Biden","female","white","Graduated college","FL","45 to 55",1,"florida"
"2451","Joe Biden","female","white","Graduated high school","IL","18 to 29",1,"illinois"
"2452","Donald Trump","female","white","Graduated college","MD","60 plus",0,"maryland"
"2453","Joe Biden","female","white","Graduated high school","WI","45 to 55",1,"wisconsin"
"2454","Joe Biden","female","white","Graduated college","MD","30 to 44",1,"maryland"
"2455","Joe Biden","female","white","Graduated college","NC","30 to 44",1,"north carolina"
"2456","Joe Biden","female","other asian or pacific islander","Graduated college","NJ","18 to 29",1,"new jersey"
"2457","Joe Biden","female","white","Graduated college","MI","60 plus",1,"michigan"
"2458","Donald Trump","female","chinese","Graduated college","UT","30 to 44",0,"utah"
"2459","Joe Biden","female","black/african american","Graduated high school","IL","18 to 29",1,"illinois"
"2460","Donald Trump","male","white","Graduated college","MA","45 to 55",0,"massachusetts"
"2461","Joe Biden","female","white","Graduated college","WI","60 plus",1,"wisconsin"
"2462","Donald Trump","female","white","Graduated high school","WV","30 to 44",0,"west virginia"
"2463","Donald Trump","male","black/african american","Graduated college","NV","60 plus",0,"nevada"
"2464","Donald Trump","female","white","Graduated college","IL","60 plus",0,"illinois"
"2465","Joe Biden","female","white","Graduated college","OK","45 to 55",1,"oklahoma"
"2466","Donald Trump","male","white","Graduated high school","PA","60 plus",0,"pennsylvania"
"2467","Joe Biden","female","white","Graduated high school","PA","45 to 55",1,"pennsylvania"
"2468","Donald Trump","female","white","Graduated college","OH","30 to 44",0,"ohio"
"2469","Joe Biden","female","black/african american","Graduated college","AL","45 to 55",1,"alabama"
"2470","Joe Biden","female","white","Graduated high school","WV","18 to 29",1,"west virginia"
"2471","Joe Biden","male","white","Graduated high school","CA","45 to 55",1,"california"
"2472","Joe Biden","female","white","Didn't graduate college","NC","60 plus",1,"north carolina"
"2473","Donald Trump","male","white","Graduated college","FL","30 to 44",0,"florida"
"2474","Joe Biden","female","white","Graduated high school","CA","45 to 55",1,"california"
"2475","Joe Biden","female","other race, nec","Didn't graduate high school","TX","18 to 29",1,"texas"
"2476","Donald Trump","female","white","Graduated college","MN","60 plus",0,"minnesota"
"2477","Joe Biden","male","white","Graduated college","TX","18 to 29",1,"texas"
"2478","Joe Biden","male","white","Graduated college","NC","30 to 44",1,"north carolina"
"2479","Donald Trump","male","white","Graduated college","NY","45 to 55",0,"new york"
"2480","Donald Trump","male","white","Graduated college","FL","60 plus",0,"florida"
"2481","Donald Trump","male","white","Graduated college","FL","60 plus",0,"florida"
"2482","Donald Trump","male","white","Graduated college","NJ","30 to 44",0,"new jersey"
"2483","Donald Trump","male","white","Didn't graduate college","SC","60 plus",0,"south carolina"
"2484","Joe Biden","female","white","Graduated high school","MA","60 plus",1,"massachusetts"
"2485","Joe Biden","female","white","Graduated college","MI","60 plus",1,"michigan"
"2486","Joe Biden","female","white","Graduated college","IN","60 plus",1,"indiana"
"2487","Donald Trump","male","white","Graduated college","NY","30 to 44",0,"new york"
"2488","Joe Biden","male","black/african american","Didn't graduate high school","NJ","18 to 29",1,"new jersey"
"2489","Donald Trump","male","white","Didn't graduate college","OH","60 plus",0,"ohio"
"2490","Joe Biden","female","black/african american","Graduated high school","AL","45 to 55",1,"alabama"
"2491","Joe Biden","female","white","Didn't graduate college","AZ","18 to 29",1,"arizona"
"2492","Donald Trump","female","white","Didn't graduate high school","GA","30 to 44",0,"georgia"
"2493","Donald Trump","male","white","Graduated college","NH","60 plus",0,"new hampshire"
"2494","Joe Biden","male","white","Graduated high school","CO","18 to 29",1,"colorado"
"2495","Donald Trump","male","white","Graduated college","KS","30 to 44",0,"kansas"
"2496","Donald Trump","female","white","Didn't graduate college","GA","45 to 55",0,"georgia"
"2497","Joe Biden","female","white","Graduated college","ME","30 to 44",1,"maine"
